id,name,address,postal_code,latitude,longitude,star,review_count
Ga2Bt7xfqoggTypWD5VpoQ,Amando's Bros,2602 W Southern Ave,85282,33.393199,-111.97627,4.0,9
LAoSegVNU4wx4GTA8reB6A,Tzikii Food Truck,7510 S Priest Dr,85283,33.3501044,-111.9636604,3.0,4
W7hCuNdn2gzehta6eSHzgQ,Pete's Fish & Chips,1017 E Apache Blvd,85281,33.4145065,-111.9237207,2.0,117
ydE2SjvSd9_NMoEBAE2PuA,Chili's Grill & Bar,801 S Mill Ave,85281,33.4217581,-111.9397605,3.5,51
UZ34XAw1GJ3chCOuKL69Mg,Garcia's,1706 E Warner Rd,85284,33.3348350525,-111.9125213623,3.0,119
CU4LgHxH0EwXnPUmQsWFSQ,Church's Chicken,5000 S Arizona Mills Cir,85282,33.384742,-111.965187,2.0,14
i2PbfQCPE_MQ4tYERaBoyA,Urban Cafe,1212 E Apache Blvd,85281,33.4152426,-111.9196665,4.0,4
Cy46zHlSVkCGZRpaHwlkVA,Alibaba Hookah Lounge,933 E University Dr,85281,33.4212886,-111.9246995,3.5,26
TSReAmFxNVCZggcx49Gf3A,Rally's,1410 West University,85281,33.4223367,-111.9617741,2.5,91
jXEwGfy3bzI8t4TkMF-c4A,Char's Thai Restaurant,927 E University Dr,85281,33.421712,-111.925231,3.0,7
tamr4J75GguGhF1hm1wEaA,Jersey Mike's Subs,555 North Scottsdale Rd,85281,33.434402,-111.925484,3.5,101
rEesEXMeBB6t-H5BGbmXAw,Late Night Johnny's Sports Bar & Grill,825 W Baseline Rd,85283,33.3771903,-111.9520135,3.5,11
O4YxrrQ8Rg1Kc4Mel3cAyg,Subway,950 S Mill Ave,85281,33.4192981,-111.9402206,2.5,16
RCX3zz86OvwqLCr6X290EQ,The Original Hoagie Shop,1335 W University Dr,85281,33.4212545,-111.9603069,4.0,53
M9N2eaO8PkT7MHGLLA6V3Q,Panda Express,5000 S Arizona Mills Cir,85282,33.3831468,-111.9647254,2.0,3
6ksBg7LoD06ctMU3OfNFUQ,Taco Shack,827 S Rural Rd,85281,33.4213391,-111.925805,4.0,33
XyaOCULIHZjssQoM-FJLpA,Hubbly Bubbly Hookah Bar & Lounge,1400 S McClintock Dr,85281,33.413166,-111.90956,2.5,71
D6RDpCS1lfgZdPuLHlpsHA,Marcello's Pasta Grill,1701 E Warner Rd,85284,33.3341827,-111.9134812,3.0,123
mHGnzvQu8TZF_PEU0-yJJQ,Ichiban Japanese Restaurant,1435 E University Dr,85281,33.4211717,-111.9149003,2.0,3
